iter	Passed	Remaining
0	3	369
1	6	325
2	9	303
3	12	290
4	14	282
5	18	292
6	21	288
7	24	281
8	27	275
9	30	271
10	33	271
11	36	266
12	39	262
13	42	260
14	45	255
15	47	250
16	50	247
17	53	244
18	56	239
19	58	235
20	61	232
21	64	229
22	67	226
23	70	221
24	72	218
25	75	215
26	78	211
27	81	208
28	84	206
29	86	202
30	89	199
31	92	196
32	94	192
33	97	189
34	100	186
35	103	183
36	105	180
37	108	176
38	110	173
39	113	170
40	116	167
41	118	164
42	121	161
43	123	157
44	126	154
45	129	151
46	131	148
47	134	145
48	137	142
49	139	139
50	142	137
51	145	134
52	148	131
53	150	128
54	153	125
55	156	122
56	158	119
57	161	117
58	164	114
59	167	111
60	169	108
61	172	105
62	174	102
63	178	100
64	180	97
65	183	94
66	185	91
67	188	88
68	190	85
69	194	83
70	196	80
71	199	77
72	201	74
73	203	71
74	206	68
75	209	66
76	212	63
77	214	60
78	217	57
79	219	54
80	222	52
81	225	49
82	228	46
83	230	43
84	232	41
85	234	38
86	237	35
87	239	32
88	242	30
89	244	27
90	247	24
91	249	21
92	252	18
93	254	16
94	257	13
95	260	10
96	262	8
97	265	5
98	267	2
99	270	0
